Pháp lý,Hướng,Chính chủ,Đường trước nhà,Giá,url,Địa chỉ tài sản,Mã tin,Số phòng ngủ,Loại BDS,Chiều dài,Diện tích,Sân thượng,Thuộc dự án,Phòng ăn,Loại tin,Chổ để xe hơi,Chiều ngang,Nhà bếp,Số lầu
Sổ hồng/ Sổ đỏ,_,---,8m,630 triệu,https://alonhadat.com.vn/can-ban-gap-can-nha-ngay-cho-binh-chanh-gia-790tr-cho-thue-8tr-th-6x19-117m2--17230039.html,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",17230039.0,3,Nhà mặt tiền,19m,120 m2,,,,Cần bán,,6m,,1
Sổ hồng/ Sổ đỏ,_,---,"5,5m","8,9 tỷ",https://alonhadat.com.vn/chinh-chu-ban-nhanh-nha-mat-tien-nam-tho-115m-cach-bien-man-thai-300m-gia-8-9-ty-17235364.html,"Đường Nam Thọ 2, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",17235364.0,2,Nhà mặt tiền,---,115 m2,,,,Cần bán,---,5m,,1
Sổ hồng/ Sổ đỏ,_,---,8mm,650 triệu,https://alonhadat.com.vn/ban-gap-nha-ngay-khu-cho-binh-chanh-dang-cho-thue-8trieu-thang-120m2-650-trieu-17394806.html,"Trịnh Như Khuê Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",17394806.0,3,Nhà mặt tiền,20m,120 m2,---,,,Cần bán,---,6m,,2
Sổ hồng/ Sổ đỏ,Nam,---,6m,"5,85 tỷ",https://alonhadat.com.vn/hot-nha-dep-thiet-ke-luxury-kiet-dien-bien-phu-5-x-ty-17413290.html,"Đường Điện Biên Phủ, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",17413290.0,3,Nhà mặt tiền,12m,60 m2,---,,,Cần bán,,5m,,3
Sổ hồng/ Sổ đỏ,_,---,"5,5m","7,9 tỷ",https://alonhadat.com.vn/-sieu-pham-nha-mat-tien-hoang-dao-thuy-109m-3-tang-full-noi-that--17373264.html,"Đường Hoàng Đạo Thúy, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",17373264.0,5,Nhà mặt tiền,---,109 m2,---,,---,Cần bán,---,5m,---,3
Sổ hồng/ Sổ đỏ,Đông,---,3m,"7,6 tỷ",https://alonhadat.com.vn/ban-gap-nha-ngay-kdc-ecogreen-q7-dtsd-135m2-dat-hien-huu-hon-7toi-tl-17413243.html,"Đường Tân Thuận Tây, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",17413243.0,4,Nhà trong hẻm,26m,135 m2,---,,---,Cần bán,---,5m,---,2
Sổ hồng/ Sổ đỏ,_,---,5m,"3,29 tỷ",https://alonhadat.com.vn/can-nha-2-tang-54m2-ngay-hong-ha-tan-binh-gia-3-ty-290-shr-hem-5m-full-noi-that-17410458.html,"Đường Hồng Hà, Phường 2, Quận Tân Bình, Hồ Chí Minh",17410458.0,3,Nhà trong hẻm,---,54 m2,,,,Cần bán,,---,,2
Sổ hồng/ Sổ đỏ,_,---,5m,"4,22 tỷ",https://alonhadat.com.vn/can-tim-chu-cho-can-nha-60m2-ngay-hoang-van-thu-tan-binh-gia-4-ty-220-vi-tri-dac-dia-17408551.html,"Đường Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Hồ Chí Minh",17408551.0,4,Nhà trong hẻm,---,60 m2,,,,Cần bán,,---,,2
Sổ hồng/ Sổ đỏ,_,---,"4,5m","3,11 tỷ",https://alonhadat.com.vn/ban-nha-gan-san-bay-nguyen-van-cong-go-vap-gia-3-ty-110-50-4m2-shr-nhieu-tien-ich-17407694.html,"Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh",17407694.0,3,Nhà trong hẻm,---,50 m2,,,,Cần bán,,---,,2
Sổ hồng/ Sổ đỏ,_,---,"5,5m","5,2 tỷ",https://alonhadat.com.vn/sieu-hiem-nha-2-tang-mat-tien-tra-khe-sat-fpt-2-phut-ra-bien-chi-5-xty--17407235.html,"Đường Trà Khê 8, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",17407235.0,2,Nhà mặt tiền,21m,105 m2,---,,---,Cần bán,---,5m,---,2
